Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ABCAPITAL,01-Apr-2024,25-Apr-2024,CE,210.00,0.45,0.55,0.30,0.55,0.55,0.55,317.00,3601.86,7.08,1285200.00,594000.00,181.85
ABCAPITAL,01-Apr-2024,25-Apr-2024,CE,212.50,-,-,-,3.10,-,0.65,-,-,-,-,-,181.85
ABCAPITAL,01-Apr-2024,25-Apr-2024,CE,215.00,0.35,0.40,0.35,0.40,0.40,0.50,28.00,325.68,0.60,129600.00,129600.00,181.85
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,145.00,-,-,-,38.00,38.00,56.75,-,-,-,5400.00,-,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,150.00,-,-,-,28.00,28.00,51.75,-,-,-,5400.00,-,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,155.00,-,-,-,19.75,-,46.80,-,-,-,-,-,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,160.00,36.00,40.00,36.00,40.00,40.00,41.90,3.00,32.04,6.12,5400.00,-5400.00,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,162.50,-,-,-,21.00,21.00,39.45,-,-,-,5400.00,-,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,165.00,32.60,34.80,32.60,34.80,34.80,37.00,3.00,32.21,5.48,21600.00,-5400.00,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,167.50,22.55,22.55,22.55,22.55,22.55,34.60,1.00,10.26,1.22,5400.00,-5400.00,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,170.00,18.85,32.20,18.30,32.15,32.20,32.15,154.00,1605.13,191.41,237600.00,-259200.00,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,172.50,16.70,18.90,16.70,18.90,18.90,29.90,2.00,20.55,1.92,37800.00,-,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,175.00,14.50,28.10,13.85,27.85,27.80,27.85,162.00,1706.75,175.85,383400.00,-286200.00,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,177.50,11.05,24.95,11.05,24.95,24.95,24.95,26.00,274.32,25.11,59400.00,-59400.00,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,180.00,8.20,23.55,8.20,23.00,23.15,23.00,1316.00,13834.41,1042.89,1387800.00,-1458000.00,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,182.50,9.50,20.05,8.50,20.05,20.05,20.05,144.00,1511.73,92.61,135000.00,-113400.00,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,185.00,6.50,18.90,6.50,18.60,18.65,18.60,1187.00,12539.48,681.35,766800.00,-361800.00,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,187.50,6.15,17.00,6.05,16.60,16.60,16.60,534.00,5689.45,282.70,124200.00,-21600.00,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,190.00,4.90,15.45,4.75,15.00,14.95,15.00,4992.00,53584.42,2366.50,1333800.00,-923400.00,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,192.50,3.90,13.55,3.90,13.30,12.95,13.30,527.00,5712.02,233.86,264600.00,178200.00,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,195.00,3.00,12.00,3.00,11.60,11.50,11.60,3905.00,42845.53,1725.88,1031400.00,513000.00,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,197.50,3.10,10.50,2.85,10.15,10.15,10.15,469.00,5205.73,203.85,172800.00,172800.00,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,200.00,2.05,9.20,2.05,8.70,8.70,8.70,11743.00,131067.20,4242.80,4503600.00,1755000.00,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,202.50,3.45,7.85,3.35,7.50,7.40,7.50,198.00,2235.88,70.75,199800.00,199800.00,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,205.00,1.85,7.00,1.55,6.50,6.40,6.50,2731.00,30987.68,755.51,1377000.00,1155600.00,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,207.50,2.35,5.80,2.35,5.50,5.40,5.50,72.00,824.54,17.78,108000.00,108000.00,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,210.00,1.00,5.15,0.95,4.65,4.55,4.65,6197.00,71490.27,1216.29,4028400.00,2743200.00,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,212.50,1.70,4.30,1.70,3.90,3.80,3.90,87.00,1014.71,16.39,162000.00,162000.00,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,215.00,0.60,3.80,0.60,3.40,3.25,3.40,3749.00,44085.24,559.35,2516400.00,2386800.00,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,217.50,1.50,3.10,1.50,2.80,2.80,2.80,607.00,7206.56,77.34,1166400.00,1166400.00,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,220.00,2.55,2.70,2.25,2.45,2.30,2.45,78.00,937.02,10.38,216000.00,216000.00,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,222.50,-,-,-,1.75,-,2.15,-,-,-,-,-,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,225.00,1.75,1.95,1.65,1.80,1.70,1.80,200.00,2449.26,19.26,766800.00,766800.00,201.05
ABCAPITAL,02-Apr-2024,25-Apr-2024,CE,227.50,1.50,1.60,1.35,1.50,1.40,1.50,78.00,964.50,6.27,356400.00,356400.00,201.05
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,145.00,-,-,-,38.00,38.00,59.85,-,-,-,5400.00,-,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,150.00,-,-,-,28.00,28.00,54.85,-,-,-,5400.00,-,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,155.00,-,-,-,19.75,-,49.90,-,-,-,-,-,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,160.00,-,-,-,40.00,40.00,44.95,-,-,-,5400.00,-,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,162.50,-,-,-,21.00,21.00,42.50,-,-,-,5400.00,-,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,165.00,-,-,-,34.80,34.80,40.05,-,-,-,21600.00,-,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,167.50,-,-,-,22.55,22.55,37.60,-,-,-,5400.00,-,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,170.00,32.20,37.80,32.20,36.50,36.50,35.20,13.00,143.92,24.58,226800.00,-10800.00,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,172.50,-,-,-,18.90,18.90,32.85,-,-,-,37800.00,-,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,175.00,27.40,33.00,26.75,33.00,33.00,30.50,16.00,177.26,26.06,345600.00,-37800.00,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,177.50,24.70,29.25,24.70,29.25,29.25,28.20,3.00,33.08,4.32,64800.00,5400.00,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,180.00,22.00,27.80,21.70,26.05,25.80,26.05,54.00,596.41,71.53,1333800.00,-54000.00,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,182.50,21.05,23.40,21.05,23.40,23.40,23.75,7.00,77.44,8.45,129600.00,-5400.00,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,185.00,19.25,23.05,17.75,22.00,22.00,22.00,38.00,421.77,42.15,718200.00,-48600.00,204.20
ABCAPITAL,03-Apr-2024,25-Apr-2024,CE,187.50,17.10,20.85,16.90,19.95,19.95,19.65,13.00,144.41,12.79,102600.00,-21600.00,204.20
